date,regime_label,proba_up,position,turnover,cost,market_return,strategy_return,equity,benchmark_equity
2023-03-02,High Volatility,0.4805913269519806,0,1,0.0007,0.01601874917648306,-0.0007,0.9174776018396936,1.5978419655290705
2023-03-03,High Volatility,0.36829543113708496,0,0,0.0,0.0006869307788483012,0.0,0.9174776018396936,1.5989399494312206
2023-03-06,High Volatility,0.29933953285217285,0,0,0.0,-0.015445590479262547,-0.0,0.9174776018396936,1.5744331261560063
2023-03-07,High Volatility,0.5130286812782288,1,1,0.0007,0.0014137941356032722,0.0007137941356032722,0.9181327257554232,1.5766606247178374
2023-03-08,High Volatility,0.5082384347915649,1,0,0.0,-0.018631857945482354,-0.018631857945482354,0.9011845851950117,1.5475564820005652
2023-03-09,High Volatility,0.5909683108329773,1,0,0.0,-0.01458396943606664,-0.01458396943606664,0.8881371099951979,1.5251507449840536
2023-03-10,High Volatility,0.5671669840812683,1,0,0.0,-0.001510901840738768,-0.001510901840738768,0.8867962352210418,1.5228481318652913
2023-03-13,High Volatility,0.5618302822113037,1,0,0.0,0.016342388235363665,0.016342388235363665,0.9014076712702932,1.5479395758833474
2023-03-14,High Volatility,0.4401547312736511,0,1,0.0007,-0.007005363929353597,-0.0007,0.900776906693762,1.537133589937773
2023-03-15,High Volatility,0.5901174545288086,1,1,0.0007,0.017409576249031722,0.016709576249031723,0.9159549633936851,1.5641287396008756
2023-03-16,High Volatility,0.3828570246696472,0,1,0.0007,-0.011080621273953702,-0.0007,0.9153140192759226,1.546892889727394
2023-03-17,High Volatility,0.48779457807540894,0,0,0.0,0.008878869635940853,0.0,0.9153140192759226,1.5606887050269662
2023-03-20,High Volatility,0.43767762184143066,0,0,0.0,0.012898647518559103,0.0,0.9153140192759226,1.5809498684097094
2023-03-21,High Volatility,0.46926960349082947,0,0,0.0,-0.016600248639842885,-0.0,0.9153140192759226,1.5549223369478953
2023-03-22,High Volatility,0.18424838781356812,0,0,0.0,0.0029800838691824228,0.0,0.9153140192759226,1.5595630473406834
2023-03-23,High Volatility,0.6057594418525696,1,1,0.0007,0.005623963084303207,0.004923963084303207,0.9198321060350197,1.5683586823267492
2023-03-24,High Volatility,0.48395562171936035,0,1,0.0007,0.0016455995637670831,-0.0007,0.9191884488670867,1.5709416974115649
2023-03-27,High Volatility,0.544175386428833,1,1,0.0007,-0.0015750832883878866,-0.0022750832883878867,0.9170995956467094,1.5684692810389442
2023-03-28,High Volatility,0.5628334879875183,1,0,0.0,0.014136870775046802,0.014136870775046802,0.9301565891795209,1.5907999999228595
2023-03-29,High Volatility,0.6757211089134216,1,0,0.0,0.005698999199482652,0.005698999199482652,0.9354726846603264,1.5998918504659116
2023-03-30,High Volatility,0.6449429392814636,1,0,0.0,0.014333327782036555,0.014333327782036555,0.9489776758036002,1.6229887571153916
2023-03-31,High Volatility,0.5716565847396851,1,0,0.0,0.003692022565802823,0.003692022565802823,0.9524877985360637,1.6289919433611157
2023-04-03,High Volatility,0.5475023984909058,1,0,0.0,-0.005813839745162529,-0.005813839745162529,0.9469662533582377,1.619548722541482
